                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 0.7759,                0.45682,                0.96611,                      1,                0.98005,                0.99311,                0.82216,                0.67282,                0.41121,                0.97238,              0.0016634,              0.0016634,              0.0016634
                    105,                0.81029,                0.48576,                0.98479,                0.99931,                0.97115,                0.99273,                0.81567,                0.67061,                0.40489,                0.97743,              0.0016601,              0.0016601,              0.0016601
                    106,                0.76357,                0.48946,                0.96096,                0.99922,                0.97115,                0.99202,                0.82831,                 0.6592,                0.39961,                 0.9757,              0.0016568,              0.0016568,              0.0016568
                    107,                0.78332,                0.49648,                 0.9924,                0.99917,                0.97115,                 0.9926,                0.82867,                0.68094,                0.40917,                0.97721,              0.0016535,              0.0016535,              0.0016535
                    108,                0.75056,                0.46629,                0.95465,                0.99915,                0.97115,                  0.993,                0.83717,                0.62278,                0.39445,                0.96637,              0.0016502,              0.0016502,              0.0016502
                    109,                0.74124,                0.44852,                0.94979,                0.99933,                0.97115,                0.99309,                0.84019,                0.63365,                0.39784,                0.96818,              0.0016469,              0.0016469,              0.0016469
                    110,                0.78225,                0.47999,                0.97258,                0.99937,                0.97115,                0.99254,                0.81538,                0.67869,                0.40455,                0.97462,              0.0016436,              0.0016436,              0.0016436
                    111,                0.72406,                0.45875,                 0.9595,                0.99929,                0.97115,                0.98161,                0.83464,                0.60712,                0.39335,                0.95641,              0.0016403,              0.0016403,              0.0016403
                    112,                0.76192,                0.45189,                0.96812,                0.99927,                0.97115,                0.98059,                0.80085,                0.69718,                0.44121,                 1.0003,               0.001637,               0.001637,               0.001637
                    113,                0.75392,                0.46492,                0.96493,                0.99923,                0.97115,                0.98085,                0.81997,                0.66391,                0.42892,                0.97687,              0.0016337,              0.0016337,              0.0016337
                    114,                0.77943,                0.45492,                0.95453,                0.99876,                0.97115,                0.98946,                0.84375,                0.61994,                0.42272,                0.94531,              0.0016304,              0.0016304,              0.0016304
                    115,                0.75422,                0.45699,                0.95789,                0.99806,                0.97115,                0.98942,                0.83481,                0.61509,                0.45089,                0.94202,              0.0016271,              0.0016271,              0.0016271
                    116,                0.77035,                0.47139,                0.95668,                0.99738,                0.97115,                0.98776,                 0.8213,                0.64227,                0.43491,                0.94529,              0.0016238,              0.0016238,              0.0016238
                    117,                0.71343,                0.44653,                0.95551,                0.99893,                0.97115,                0.99033,                0.82669,                0.65031,                0.40576,                0.95084,              0.0016205,              0.0016205,              0.0016205
                    118,                0.80399,                 0.4813,                0.99671,                0.99929,                0.97115,                 0.9833,                0.84015,                0.64336,                0.39282,                0.96268,              0.0016172,              0.0016172,              0.0016172
                    119,                0.81836,                0.47946,                 1.0368,                0.99931,                0.97115,                0.97733,                0.80842,                0.67745,                 0.4041,                 1.0009,              0.0016139,              0.0016139,              0.0016139
                    120,                0.75917,                0.45625,                 0.9901,                0.99918,                0.97115,                0.98297,                0.82632,                0.65168,                0.43311,                0.98274,              0.0016106,              0.0016106,              0.0016106
                    121,                 0.7608,                0.45761,                0.97615,                0.99907,                0.97115,                0.98545,                0.82326,                0.68216,                0.43808,                0.98464,              0.0016073,              0.0016073,              0.0016073
                    122,                0.85969,                0.52118,                 1.0255,                0.99907,                0.97115,                0.98492,                0.81258,                0.71047,                0.43606,                0.99921,               0.001604,               0.001604,               0.001604
                    123,                0.77486,                0.49174,                0.97236,                0.99908,                0.97115,                 0.9843,                0.80714,                0.71179,                0.43139,                 1.0143,              0.0016007,              0.0016007,              0.0016007
                    124,                0.74533,                 0.4912,                0.96811,                0.99818,                0.97115,                0.98883,                0.84071,                0.61407,                0.39375,                0.97161,              0.0015974,              0.0015974,              0.0015974
                    125,                0.74928,                0.49105,                0.97011,                0.98785,                0.97115,                0.98995,                 0.8345,                0.62763,                 0.4319,                0.98159,              0.0015941,              0.0015941,              0.0015941
                    126,                0.73227,                0.45053,                0.97135,                0.97669,                0.97115,                0.99155,                0.82655,                0.68309,                0.43931,                 1.0058,              0.0015908,              0.0015908,              0.0015908
                    127,                0.71249,                0.46434,                0.97778,                0.99729,                0.97115,                0.99384,                0.85043,                0.61015,                0.40677,                0.97032,              0.0015875,              0.0015875,              0.0015875
                    128,                0.75383,                 0.4658,                0.95966,                0.99916,                0.97115,                0.99371,                0.85981,                0.57619,                0.37248,                0.95475,              0.0015842,              0.0015842,              0.0015842
                    129,                0.70395,                0.44271,                0.94196,                0.99925,                0.97115,                0.98967,                 0.8576,                0.58964,                0.36917,                0.96251,              0.0015809,              0.0015809,              0.0015809
                    130,                0.71708,                0.45355,                0.96962,                0.99904,                0.97115,                0.98761,                0.83913,                0.59721,                0.35696,                0.95854,              0.0015776,              0.0015776,              0.0015776
                    131,                0.72599,                0.44946,                0.95129,                0.99836,                0.97115,                0.98577,                0.84836,                0.58141,                0.35915,                0.95299,              0.0015743,              0.0015743,              0.0015743
                    132,                0.65097,                0.43547,                0.91523,                0.99883,                0.97115,                0.98928,                0.84873,                0.60504,                 0.3532,                0.95873,               0.001571,               0.001571,               0.001571
                    133,                0.69129,                0.44604,                 0.9633,                0.99921,                0.97115,                0.98974,                0.83728,                0.59916,                0.36314,                0.95402,              0.0015677,              0.0015677,              0.0015677
